Model,BLEU-1,BLEU-2,BLEU-3,BLEU-4,P,R,F,Diversity-1,Diversity-2,Diversity-3,Diversity-4,REP
cross-YFS,13.22,3.87,1.25,0.48,17.9,12.05,13.6, 7.56, 17.37, 22.73, 26.64, 1.51
cross-YFS w_tf,42.02,24.27,14.22,8.62,41.02,37.84,39.33, 22.61, 60.57, 81.53, 83.45, 1.02
cross-YDG,13.26,3.67,1.26,0.53,18.01,12.48,13.84, 7.77, 17.78, 23.47, 27.22, 1.54
cross-YDG w_tf,41.48,23.95,13.97,8.39,40.85,37.66,39.09, 22.18, 59.96, 81.06, 83.48, 1.02
cross-YAC,9.42,1.53,0.27,0.07,7.88,16.58,10.26, 9.92, 34.54, 55.65, 68.68, 1.0
cross-YAC w_tf,32.53,16.11,8.2,4.54,34.5,29.65,31.29, 22.55, 58.48, 76.29, 76.43, 1.02
unique_sent,12.55,3.43,1.31,0.52,17.29,11.51,12.99, 4.26, 11.75, 16.9, 20.28, 1.93
unique_sent w_tf,41.36,24.27,14.02,8.29,40.79,37.94,39.24, 2.24, 5.37, 6.45, 6.3, 13.4
cross-YIS,13.42,3.94,1.16,0.38,18.25,12.15,13.77, 7.4, 17.98, 23.91, 27.62, 1.53
cross-YIS w_tf,42.07,24.11,13.89,8.19,41.11,37.88,39.39, 21.69, 59.46, 80.92, 83.44, 1.02
cross-YSD,13.57,3.66,1.15,0.38,18.19,12.49,13.95, 6.73, 16.47, 22.84, 27.3, 1.44
cross-YSD w_tf,41.51,23.95,13.76,8.14,40.87,37.43,38.96, 21.34, 58.65, 80.24, 83.05, 1.02
cross-YRP,15.47,4.07,1.42,0.59,15.93,13.24,13.53, 11.82, 31.81, 43.24, 49.18, 1.15
cross-YRP w_tf,40.96,22.76,12.93,7.54,40.17,36.82,38.35, 22.93, 62.11, 82.57, 83.83, 1.01
cross-YSL,12.97,3.61,1.0,0.34,17.91,12.09,13.6, 7.27, 17.24, 22.73, 26.52, 1.75
cross-YSL w_tf,42.16,24.42,14.28,8.58,41.22,38.12,39.57, 22.68, 60.99, 81.8, 83.44, 1.02
cross-YTL,13.9,4.06,1.43,0.53,18.39,12.91,14.36, 7.19, 16.82, 21.95, 25.27, 1.63
cross-YTL w_tf,42.34,24.7,14.58,8.87,41.13,38.32,39.63, 22.27, 60.2, 81.33, 83.69, 1.02
cross-YAK,13.64,3.84,1.21,0.42,19.26,12.85,14.58, 8.8, 20.44, 26.65, 29.98, 1.5
cross-YAK w_tf,41.96,24.65,14.63,8.93,41.4,37.93,39.48, 23.54, 62.46, 82.24, 83.44, 1.01
cross-YRH,14.24,4.42,1.69,0.85,18.94,13.29,14.72, 7.4, 17.62, 23.4, 27.28, 1.55
cross-YRH w_tf,41.26,23.56,13.65,8.26,40.05,37.14,38.51, 21.42, 58.31, 80.1, 83.53, 1.01
cross-YDR,13.47,3.98,1.3,0.55,18.08,12.99,14.17, 7.73, 18.13, 23.85, 27.36, 1.52
cross-YDR w_tf,41.71,24.07,13.92,8.32,41.06,37.78,39.26, 22.07, 60.42, 81.67, 83.6, 1.01
cross-YLS,12.39,3.59,1.28,0.54,18.02,11.94,13.49, 7.19, 16.29, 20.86, 23.56, 1.91
cross-YLS w_tf,41.9,24.36,14.29,8.69,41.26,37.88,39.41, 22.38, 60.92, 81.81, 83.41, 1.02
cross-YFR,15.13,4.2,1.39,0.48,17.55,13.82,14.48, 10.49, 24.39, 32.08, 36.93, 1.2
cross-YFR w_tf,42.19,24.72,14.4,8.58,41.29,38.48,39.78, 23.58, 62.44, 82.58, 83.94, 1.01
cross-YMS,15.7,3.4,0.92,0.32,17.46,13.46,14.14, 9.16, 22.07, 30.27, 35.74, 1.16
cross-YMS w_tf,40.67,23.16,13.48,8.0,39.83,37.03,38.22, 22.15, 59.06, 80.53, 83.18, 1.01
cross-YRK,15.23,3.07,0.69,0.14,13.55,15.68,13.56, 11.65, 34.99, 51.26, 59.96, 1.02
cross-YRK w_tf,40.36,22.1,12.11,6.6,38.51,36.21,37.27, 22.54, 60.76, 81.9, 83.49, 1.02
cross-YMD,17.9,4.42,1.33,0.43,16.79,15.0,15.24, 9.7, 25.27, 35.79, 42.77, 1.07
cross-YMD w_tf,43.02,25.4,15.15,9.02,41.49,39.25,40.32, 22.22, 59.51, 80.74, 83.72, 1.01
cross-YAG,12.69,3.83,1.17,0.21,18.99,12.33,14.11, 5.63, 11.94, 15.31, 17.39, 2.6
cross-YAG w_tf,41.37,23.75,13.68,8.0,40.5,37.67,38.95, 21.51, 58.38, 80.22, 83.38, 1.02
cross-YHS,13.49,4.1,1.53,0.66,17.94,12.65,13.93, 7.38, 17.1, 22.47, 26.36, 1.59
cross-YHS w_tf,41.95,24.31,14.19,8.5,40.99,37.94,39.37, 22.28, 60.77, 81.77, 83.61, 1.02
